"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"97","8","","Jamison Crowder","NYJ","WR42","11","48","204","101.8","23.4","111.0","+14.0"
"98","8","","Matthew Stafford","DET","QB13","5","70","136","101.9","11.2","106.0","+8.0"
"99","8","","Phillip Lindsay","DEN","RB35","8","66","195","103.3","19.0","96.0","-3.0"
"100","8","","Emmanuel Sanders","NO","WR43","6","65","201","103.8","17.7","104.0","+4.0"
"101","8","","Anthony Miller","CHI","WR44","11","72","175","104.0","19.6","137.0","+36.0"
"102","8","","Darius Slayton","NYG","WR45","11","72","210","104.4","21.8","109.0","+7.0"
"103","8","","Jared Cook","NO","TE10","6","63","163","105.4","20.6","98.0","-5.0"
"104","8","","Damien Williams","KC","RB36","10","60","149","105.5","17.5","94.0","-10.0"
"105","8","","Jordan Howard","MIA","RB37","11","71","168","107.1","18.4","91.0","-14.0"
"106","8","","Rob Gronkowski","TB","TE11","13","63","208","107.4","21.7","74.0","-32.0"
"107","8","","Mike Williams","LAC","WR46","10","62","186","108.5","18.5","135.0","+28.0"
"108","8","","Ronald Jones II","TB","RB38","13","66","181","108.8","19.9","81.0","-27.0"
"109","8","","Sony Michel","NE","RB39","6","59","170","109.3","13.3","88.0","-21.0"
"110","8","","Kerryon Johnson","DET","RB40","5","44","185","113.4","22.9","99.0","-11.0"
"111","8","","Hayden Hurst","ATL","TE12","10","53","335","113.5","44.9","105.0","-6.0"
"112","8","","J.K. Dobbins","BAL","RB41","8","45","351","114.9","37.1","93.0","-19.0"
"113","8","","Mike Gesicki","MIA","TE13","11","65","232","115.3","23.2","129.0","+16.0"
"114","8","","Daniel Jones","NYG","QB14","11","77","190","117.4","16.9","124.0","+10.0"
"115","8","","CeeDee Lamb","DAL","WR47","10","65","205","111.7","27.9","118.0","+3.0"
"116","9","","Marlon Mack","IND","RB42","7","60","185","122.4","22.7","101.0","-15.0"
"117","9","","Noah Fant","DEN","TE14","8","78","163","122.8","16.2","110.0","-7.0"
"118","9","","Tevin Coleman","SF","RB43","11","74","199","123.3","18.5","115.0","-3.0"
"119","9","","Preston Williams","MIA","WR48","11","64","198","123.9","20.4","136.0","+17.0"
"120","9","","Ben Roethlisberger","PIT","QB15","8","91","173","124.1","15.5","128.0","+8.0"
"121","9","","Latavius Murray","NO","RB44","6","67","177","124.2","16.7","114.0","-7.0"
"122","9","","Golden Tate","NYG","WR49","11","75","205","124.3","18.0","148.0","+26.0"
"123","9","","Jerry Jeudy","DEN","WR50","8","72","314","118.0","35.6","108.0","-15.0"
"124","9","","Ryan Tannehill","TEN","QB16","7","70","179","127.0","17.7","140.0","+16.0"
"125","9","","Baker Mayfield","CLE","QB17","9","72","269","128.7","25.5","130.0","+5.0"
"126","9","","T.J. Hockenson","DET","TE15","5","78","229","130.6","19.9","126.0","0.0"
"127","9","","Robby Anderson","CAR","WR51","13","65","198","130.8","28.4","149.0","+22.0"
"128","9","","Jonnu Smith","TEN","TE16","7","83","190","131.2","17.2","156.0","+28.0"
"129","9","","Jared Goff","LAR","QB18","9","95","172","131.6","17.6","143.0","+14.0"
"130","9","","Duke Johnson","HOU","RB45","8","83","216","134.0","21.1","138.0","+8.0"
"131","9","","Dallas Goedert","PHI","TE17","9","69","236","134.2","17.9","142.0","+11.0"
"132","9","","Justin Jefferson","MIN","WR52","7","58","323","126.9","41.8","119.0","-13.0"
"133","9","","Darrell Henderson","LAR","RB46","9","66","276","134.8","27.7","107.0","-26.0"
"134","9","","Alexander Mattison","MIN","RB47","7","73","217","137.0","19.9","120.0","-14.0"
"135","9","","Cam Newton","NE","QB19","6","77","338","138.0","55.2","184.0","+49.0"
"136","9","","Jack Doyle","IND","TE18","7","71","189","140.1","13.8","146.0","+10.0"
"137","9","","Henry Ruggs III","LV","WR53","6","75","328","137.3","46.6","121.0","-16.0"
"138","9","","Nyheim Hines","IND","RB48","7","80","237","145.6","29.1","147.0","+9.0"
"139","9","","Alshon Jeffery","PHI","WR54","9","48","261","147.0","38.8","162.0","+23.0"
"140","9","","Tony Pollard","DAL","RB49","10","97","256","147.1","27.1","131.0","-9.0"
"141","9","","Joe Burrow","CIN","QB20","9","103","328","147.1","32.3","144.0","+3.0"
"142","9","","Sammy Watkins","KC","WR55","10","96","212","150.0","20.5","159.0","+17.0"
"143","9","","Breshad Perriman","NYJ","WR56","11","73","316","150.2","37.1","155.0","+12.0"
